ssn,npi,licenseNumber,licenseType,licenseStatus,licenseStatusName,compactEligibility,givenName,middleName,familyName,suffix,dateOfIssuance,dateOfRenewal,dateOfExpiration,dateOfBirth,homeAddressStreet1,homeAddressStreet2,homeAddressCity,homeAddressState,homeAddressPostalCode,emailAddress,phoneNumber
928-00-0030,2866277259,P33RTJN--,occupational therapy assistant,active,ACTIVE,eligible,Joseph,Raven,Saunders,Jr.,1987-06-22,2026-02-14,2027-02-14,1950-05-24,841 Jordan Knolls,Suite 604,Kingmouth,az,85393,,+16574061382
928-00-0031,,62--5QC27,occupational therapist,active,,eligible,Charles,Courtney,Moore,DDS,1990-11-22,2026-07-28,2027-07-28,1960-02-06,4781 Brown Field,Apt. 476,North Frederickburgh,az,86133,,+19854583050
928-00-0032,4603834476,,occupational therapist,active,,eligible,Katherine,Stacy,Fisher,,1965-10-06,2026-02-20,2027-02-20,1930-04-04,429 Alexander Point,Suite 089,Cesarchester,az,86170,amandarussell@example.org,+14846878259
928-00-0033,1660912144,,occupational therapist,active,ACTIVE,eligible,Leslie,Christopher,Evans,,2026-01-09,2026-05-09,2027-05-09,1986-10-10,408 Smith Prairie Apt. 686,,Michaelchester,az,86236,,+16044423042
928-00-0034,,,occupational therapy assistant,active,ACTIVE,eligible,Larry,Ashley,Sims,,2026-07-30,2026-07-30,2027-07-30,2001-02-10,644 Dunn Wall,Suite 747,North Scottstad,az,86274,ggreen@example.com,+19773438573
928-00-0035,5869120113,,occupational therapy assistant,active,,eligible,James,Ruth,Jackson,DVM,1995-02-14,2025-08-08,2026-08-08,1969-12-29,611 Knox Parkway,,Leeport,az,85896,flynnpaul@example.com,+13815128483
928-00-0036,4692654404,,occupational therapy assistant,active,ACTIVE,eligible,Natasha,Penny,Coleman,,2025-03-19,2026-02-04,2027-02-04,2002-12-13,96558 Flores Radial,Suite 007,Angelaborough,az,85046,zoewatson@example.com,+15091211380
928-00-0037,5980487319,,occupational therapist,active,ACTIVE,eligible,Jennifer,Elizabeth,Glover,,2006-09-13,2026-03-01,2027-03-01,1972-04-10,3189 Sarah Crossroad,Suite 916,New Marvinside,az,85039,jeff15@example.org,+14482374082
928-00-0038,,3OO33,occupational therapist,active,,eligible,Debbie,Linda,Bailey,,2021-06-11,2026-02-15,2027-02-15,1989-09-16,575 Jones Well,,Danielport,az,85270,,+14065352735
928-00-0039,2269782503,,occupational therapy assistant,active,,eligible,Angela,Richard,Porter,Jr.,2019-07-23,2025-11-26,2026-11-26,1997-03-26,49172 Spencer Spur Suite 334,,Rebeccachester,az,86050,,+19843145513
928-00-0040,,3S4R47-0-,occupational therapy assistant,active,ACTIVE,eligible,Jeffrey,Mary,Williams,,2026-07-30,2026-07-30,2027-07-30,1993-02-07,007 Christina Road,Apt. 947,Alexandraport,az,85134,,+18914113636
928-00-0041,,VZ2OH1B8XI,occupational therapist,active,,eligible,Jerry,Matthew,Davis,,1971-10-14,2026-07-05,2027-07-05,1939-08-25,5838 Stephen Land Suite 217,Suite 054,Howardchester,az,85449,brentquinn@example.org,+11335782472
928-00-0042,,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Brenda,Matthew,Simon,,1954-09-26,2026-07-23,2027-07-23,1931-06-13,179 Moses Court,Suite 993,Janiceton,az,85084,,+15609173711
928-00-0043,,,occupational therapist,active,,eligible,Daniel,Nancy,Bennett,,2005-09-19,2026-05-17,2027-05-17,1968-11-06,2269 Heather Squares Apt. 355,,New Gregorymouth,az,85918,brandy31@example.com,+14756741881
928-00-0044,,,occupational therapist,active,ACTIVE,eligible,Sierra,Richard,Jarvis,MD,1959-08-16,2025-08-01,2026-08-01,1932-03-23,3973 Sandy Mountain Apt. 342,Suite 780,South Lisa,az,86283,castillosamantha@example.org,+18065863674
928-00-0045,7351572257,KII12J,occupational therapy assistant,active,ACTIVE,eligible,Betty,James,Ortiz,,1972-11-19,2025-10-09,2026-10-09,1933-07-31,295 Walker Port Apt. 696,Apt. 186,South Mercedesberg,az,86299,,+19812221015
928-00-0046,,4K6YM1379KL-DI7,occupational therapy assistant,active,ACTIVE,eligible,Joshua,Lori,Hendricks,,1990-07-28,2026-06-25,2027-06-25,1951-07-11,111 Wright Flat Suite 159,Suite 263,Thomasmouth,az,85643,,+19378460015
928-00-0047,2170947677,,occupational therapy assistant,active,,eligible,Edward,Victoria,Castillo,,2024-06-19,2025-12-24,2026-12-24,1994-02-24,12356 Scott Shores,Suite 773,Maysport,az,85072,,+12381087320
928-00-0048,,WYO2K6VE480X5586K3,occupational therapist,active,ACTIVE,eligible,Nicholas,Patricia,Davidson,,2002-02-07,2025-12-07,2026-12-07,1974-04-08,946 Nancy Port Suite 386,Suite 127,Lake Ann,az,85404,,+15685571087
928-00-0049,8979601679,,occupational therapy assistant,active,,eligible,Ryan,Yvette,White,,1998-07-29,2025-08-11,2026-08-11,1966-09-10,5425 Derek Branch,,East Gary,az,85868,imcknight@example.com,+15018216013
928-00-0050,,835-8H0G9915H,occupational therapist,active,ACTIVE,eligible,Joanna,Justin,Guerra,,1975-02-12,2025-11-12,2026-11-12,1949-04-23,528 Smith Inlet Apt. 778,Apt. 127,Welchchester,az,85641,,+16757518216
928-00-0051,,90P6X7A80,occupational therapy assistant,active,ACTIVE,eligible,Patricia,Stacy,Dixon,,1948-06-20,2025-09-26,2026-09-26,1925-11-26,8329 Pearson Road,Apt. 461,North Johnville,az,85467,,+16175815760
928-00-0052,,99-9E2Y,occupational therapist,active,,eligible,Valerie,Brandi,Lee,,2000-12-10,2026-05-08,2027-05-08,1973-05-16,145 Roman Circles,Suite 297,North Joseph,az,85098,lewispeter@example.net,+14253689236
928-00-0053,8132026853,0-9507,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Stephanie,April,Hodges,,2026-07-30,2026-07-30,2027-07-30,2018-10-29,675 Gabrielle Radial Suite 726,,East Emilyville,az,86329,,+16201505691
928-00-0054,7652839943,,occupational therapy assistant,active,,eligible,Michelle,Gabriel,Davis,,2026-07-30,2026-07-30,2027-07-30,2006-03-01,514 Hoffman Knoll,,Nicoleport,az,85968,,+18654129190
928-00-0055,4161411582,6-0Q7Q---484-893,occupational therapy assistant,active,ACTIVE,eligible,Todd,Jeremy,Duncan,,2026-07-30,2026-07-30,2027-07-30,2008-03-17,4077 Eric Turnpike,Apt. 737,South Sabrina,az,85964,kennethedwards@example.com,+13012332566
928-00-0056,7268954217,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Jonathan,Christopher,Jones,,2001-07-06,2026-03-24,2027-03-24,1962-09-16,128 Nicholas Squares,Apt. 516,Marciamouth,az,86508,,+15918693772
928-00-0057,9630742679,,occupational therapist,active,,eligible,Timothy,Scott,Mcdaniel,,2004-11-03,2026-05-27,2027-05-27,1974-08-05,5621 Marissa Passage Apt. 781,Apt. 663,Lake Samuel,az,85917,kevinlucas@example.com,+16646005715
928-00-0058,9257688775,--V-8ZT1D,occupational therapist,active,,eligible,Bradley,Jennifer,Conrad,,1978-09-30,2025-12-05,2026-12-05,1939-07-18,05668 Mary Passage Apt. 033,Suite 561,West Patrickville,az,85985,emilyjohnson@example.org,+17480238128
928-00-0059,3451264928,,occupational therapist,active,ACTIVE,eligible,Thomas,Heather,Wheeler,,1961-04-02,2026-03-13,2027-03-13,1938-12-03,350 Shaw Rue,,Gutierrezville,az,85370,cummingsmckenzie@example.com,+16702060533
928-00-0060,4481618145,FF-97G91EK,occupational therapy assistant,active,,eligible,David,Carol,Johnson,,2025-01-30,2026-04-25,2027-04-25,1994-06-05,9312 David Knoll,,Andrewchester,az,86115,,+11786291212
928-00-0061,3217266103,VS7A59-TWT,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Nicholas,Gary,Mcdonald,MD,1972-02-13,2026-07-27,2027-07-27,1948-05-23,5606 Mckinney Crest Apt. 434,,New Jessica,az,85096,burnsangela@example.org,+16791502709
928-00-0062,,I81RT1W330G,occupational therapy assistant,active,,eligible,Monica,Brandon,Sloan,,1968-11-20,2026-01-07,2027-01-07,1945-09-06,09376 Christopher Extensions Suite 516,Suite 072,Stephaniemouth,az,86151,,+18428705346
928-00-0063,5168386842,6-76H83,occupational therapist,active,ACTIVE,eligible,Karen,Cheryl,Cox,,1986-10-16,2026-06-03,2027-06-03,1956-02-02,8456 Jessica Glens,,Micheleville,az,85483,shawemily@example.net,+13575007191
928-00-0064,,0O79-S-J2792B9,occupational therapy assistant,active,ACTIVE,eligible,David,Austin,Daniels,,2026-07-30,2026-07-30,2027-07-30,2023-02-26,6976 Joseph Crossing,Apt. 722,West Sean,az,85654,,+11251842264
928-00-0065,,,occupational therapy assistant,active,,eligible,Thomas,Abigail,Parks,,1998-09-18,2026-01-12,2027-01-12,1972-02-10,234 Julie Place,Apt. 863,Rhodesberg,az,86416,,+19331091776
928-00-0066,6634101825,L36254Z3H-82-E1-45-,occupational therapist,active,,eligible,Jack,Jacqueline,Davenport,,2013-11-26,2025-08-28,2026-08-28,1974-05-27,76189 Nelson Ramp Apt. 391,,Andrewport,az,85919,,+13707651675
928-00-0067,,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Paige,Brooke,Benjamin,,1999-11-18,2025-12-02,2026-12-02,1965-10-21,8422 Jeremy Fort,,Brownfurt,az,85387,elizabethwheeler@example.com,+15379152048
928-00-0068,3671043224,-365A43,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Steven,Bonnie,Myers,,1967-03-16,2026-06-18,2027-06-18,1931-04-21,161 Brian Union Apt. 733,Apt. 044,South Dawn,az,85318,wmarshall@example.com,+18298803374
928-00-0069,,,occupational therapy assistant,active,,eligible,Jennifer,John,Baker,,1979-07-18,2025-08-07,2026-08-07,1944-08-18,391 White Greens Suite 075,,Michaelborough,az,85446,,+12931035999
928-00-0070,,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Jordan,Melissa,Williams,,1967-05-03,2026-03-31,2027-03-31,1928-04-23,4579 Evans Light,,Loganville,az,86216,tuckerashley@example.net,+18228928975
928-00-0071,,2DQY9,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Cameron,Sarah,Robbins,,1940-07-17,2026-03-06,2027-03-06,1915-12-23,229 Cummings Dale Apt. 155,,New Nicholastown,az,85395,,+17364559002
928-00-0072,,,occupational therapist,active,,eligible,Amy,Brenda,Smith,,2026-07-30,2026-07-30,2027-07-30,2004-05-22,331 Mark Hills Suite 017,Suite 123,Christianmouth,az,85487,ricky68@example.com,+14232737221
928-00-0073,1563818963,,occupational therapist,active,,eligible,Lisa,Chris,Yang,,1985-05-13,2026-05-24,2027-05-24,1947-10-29,409 Joseph Rapids,Suite 570,Lauraborough,az,85818,lisa39@example.net,+16756656198
928-00-0074,1012205599,6G-U-ANWVP7,occupational therapist,active,,eligible,Stephen,Molly,Singh,,2026-07-30,2026-07-30,2027-07-30,2023-04-25,093 Gregory Rapid Suite 050,,East Charleneberg,az,85128,matthew58@example.com,+16883393592
928-00-0075,,,occupational therapist,active,,eligible,Matthew,Lauren,Williams,,2026-07-30,2026-07-30,2027-07-30,2026-01-11,8939 Burton Extensions,,Dunlapview,az,85862,kimrogers@example.org,+18090708227
928-00-0076,7667417937,9Y--I1X352NK-,occupational therapy assistant,active,,eligible,Courtney,Katherine,Horn,,1985-04-19,2025-08-29,2026-08-29,1957-02-21,39401 Jennifer Turnpike Apt. 937,Suite 856,Valenciaburgh,az,85995,,+11992505052
928-00-0077,9601047681,,occupational therapist,active,ACTIVE,eligible,Nancy,Briana,White,,2026-07-30,2026-07-30,2027-07-30,2019-06-18,7132 Justin Light,,Davidmouth,az,85984,derekstewart@example.com,+15608362242
928-00-0078,7561850822,BT-U3,occupational therapy assistant,active,,eligible,Ronald,Charles,Herring,,1997-05-22,2026-03-05,2027-03-05,1961-09-29,9843 Nicole Station Suite 218,Suite 534,New Amy,az,85459,,+13197616306
928-00-0079,3469741951,6--XVA29XMUQB8-282R,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Lauren,Barbara,Wright,,1981-05-02,2026-02-17,2027-02-17,1957-08-12,7005 Emily Mall,Suite 670,Marychester,az,86090,woodwardrobert@example.net,+13915571091
928-00-0080,,--6-46-T28O1-W65UW0,occupational therapist,active,,eligible,Christian,Samantha,Strickland,,1974-12-03,2026-05-18,2027-05-18,1937-12-04,653 Rose Curve,Suite 707,Dennischester,az,86354,,+13076416769
928-00-0081,,,occupational therapy assistant,active,,eligible,Thomas,Larry,Bruce,,2026-07-30,2026-07-30,2027-07-30,2016-11-02,75559 Gregory Mount Suite 308,Suite 832,Lake Lauraville,az,86265,,+15622541002
928-00-0082,7851259970,22-57-36A852SG319-I,occupational therapy assistant,active,ACTIVE,eligible,Cynthia,Alexandria,Brown,,1946-10-06,2025-09-12,2026-09-12,1921-10-13,61908 Mcgee Land,Apt. 774,Bakerchester,az,85374,,+12494947595
928-00-0083,2753045894,WD3H39754N-X-0-PD-U,occupational therapist,active,,eligible,Taylor,Denise,Gonzalez,,1947-07-14,2025-09-20,2026-09-20,1914-11-03,0382 Cassandra Highway Suite 287,Apt. 586,Padillaport,az,85106,,+17853818018
928-00-0084,7039655312,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Joseph,Lisa,Ross,,2022-12-25,2026-01-12,2027-01-12,1995-06-17,327 Wu Fork,,West Shannon,az,86089,,+16672273939
928-00-0085,,44O86W,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Jessica,Teresa,Coleman,,1941-01-14,2025-12-14,2026-12-14,1918-02-21,122 Bishop Isle,,New Emilyborough,az,86026,erikamayo@example.com,+14354004759
928-00-0086,,,occupational therapist,active,,eligible,Arthur,Brandon,Johnson,MD,2026-07-30,2026-07-30,2027-07-30,1999-10-18,86613 Cynthia Throughway,Suite 099,Davidport,az,85827,,+15885485526
928-00-0087,,51355--H-,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Gregory,Bethany,Brooks,,1960-05-23,2025-11-04,2026-11-04,1929-02-01,80352 Patel Tunnel Suite 648,,North Anne,az,85917,,+15706009509
928-00-0088,3079141658,,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Allen,Lucas,Aguirre,,2013-02-11,2025-11-04,2026-11-04,1987-11-29,684 Jason Ranch,Apt. 299,Lake Allison,az,86403,,+14668862573
928-00-0089,,-4H-0-U66T6D9J2SG8A1,occupational therapist,active,,eligible,Christopher,Charles,Rodriguez,,2026-07-30,2026-07-30,2027-07-30,2024-04-04,852 Alexis Plains Suite 026,,East Deborahfurt,az,85145,obeasley@example.org,+16543945838
928-00-0090,,,occupational therapy assistant,active,,eligible,Justin,Gregory,Snyder,,1983-05-26,2026-07-12,2027-07-12,1960-02-11,46362 Hernandez Extension Suite 286,,North Andrea,az,85913,,+18871248550
928-00-0091,,,occupational therapist,active,ACTIVE_IN_RENEWAL,eligible,Bruce,Robert,Cain,,2003-01-11,2026-02-27,2027-02-27,1966-04-04,6589 Mary Ferry Suite 471,Apt. 974,Port Kayleeville,az,85782,wagnertammy@example.net,+15298190299
928-00-0092,2335303690,,occupational therapy assistant,active,ACTIVE,eligible,Julie,Daniel,Scott,,1993-10-10,2025-10-09,2026-10-09,1957-02-21,97923 Miller Manors,,Lake Adam,az,85623,amanda98@example.com,+13030003996
928-00-0093,9256488005,4274X551KHG0PK,occupational therapy assistant,active,ACTIVE,eligible,Julie,Joshua,King,MD,1956-07-27,2026-04-11,2027-04-11,1920-12-27,66511 Scott Oval Apt. 345,Suite 147,Crystalburgh,az,85724,,+18786141125
928-00-0094,,,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Jared,Kristin,Garner,,2026-07-30,2026-07-30,2027-07-30,2022-03-07,7594 Franklin Bridge Suite 704,Apt. 555,Collinsland,az,85409,,+13147171603
928-00-0095,5909313906,,occupational therapy assistant,active,ACTIVE,eligible,Randall,Terri,Medina,DVM,2021-11-30,2026-05-24,2027-05-24,1998-11-04,948 Kimberly Courts,,Port Bradley,az,85544,,+17886289800
928-00-0096,6681712933,,occupational therapy assistant,active,ACTIVE,eligible,Daisy,Calvin,Bennett,,2016-09-11,2026-07-22,2027-07-22,1977-06-25,276 Douglas Street,Apt. 505,West Barbara,az,85509,ycollins@example.net,+19062062571
928-00-0097,5725889343,,occupational therapy assistant,active,ACTIVE_IN_RENEWAL,eligible,Jennifer,Laura,Paul,,2026-07-30,2026-07-30,2027-07-30,2002-04-25,4335 Grant Overpass,,Erinhaven,az,85284,dspencer@example.org,+12144909560
928-00-0098,,,occupational therapist,active,,eligible,Anne,James,Nguyen,,2026-07-30,2026-07-30,2027-07-30,1993-06-07,3232 Amanda Knolls Suite 070,Apt. 541,Janetport,az,85643,,+17282770596
928-00-0099,2274521612,,occupational therapy assistant,active,,eligible,George,Elizabeth,Good,,1978-08-01,2026-03-30,2027-03-30,1952-07-11,252 Joshua Road,Suite 403,Sandrashire,az,85499,,+13455706671
